MUNICIPIO,CLASSIFICADOR_TIPO,CLASSIFICADOR,SETOR
DIVINOPOLIS,LOGRADOURO,JOSE CRISTOVAO DA FONSECA,NITEROI
DIVINOPOLIS,LOGRADOURO,KARINE,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,lagoa daos mandarins,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,LEDA,NITEROI
DIVINOPOLIS,LOGRADOURO,LEDA,NITEROI
DIVINOPOLIS,LOGRADOURO,LIGACAO GRAJAU,NITEROI
DIVINOPOLIS,BAIRRO,MANGABEIRAS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,mangabeiras,NITEROI
DIVINOPOLIS,BAIRRO,MANOEL VALINHAS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,manoel valinhas,NITEROI
DIVINOPOLIS,BAIRRO,MANOEL VALINHAS II,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,MANOEL VALINHOS,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,MARECHAL HERNESTO,NITEROI
DIVINOPOLIS,BAIRRO,MARIA HELENA,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,MONTE LIBANO,NITEROI
DIVINOPOLIS,BAIRRO,NITEROI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,niteroi,NITEROI
DIVINOPOLIS,BAIRRO,NOVA SUIÇA,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,nova suiça,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,PADRE RAUL SILVA,NITEROI
DIVINOPOLIS,LOGRADOURO,PIO XII,NITEROI
DIVINOPOLIS,BAIRRO,PRIMAVERA,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,prolongamento icarai,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,PRÓXIMO AO MOTEL SCALA,NITEROI
DIVINOPOLIS,BAIRRO,SANTOS DUMONT,PORTO VELHO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SANTOS DUMONT,PORTO VELHO
DIVINOPOLIS,LOGRADOURO,SANTOS DUMONT,NITEROI
DIVINOPOLIS,BAIRRO,SAO CAETANO,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO CAETANO,NITEROI
DIVINOPOLIS,BAIRRO,SAO GERALDO,NITEROI
DIVINOPOLIS,BAIRRO,SAO JOAO DE DEUS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO JOAO DE DEUS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO joão de deus,NITEROI
DIVINOPOLIS,BAIRRO,SAO JOSE DOS SALGADOS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO JOSE DOS SALGADOS,NITEROI
DIVINOPOLIS,BAIRRO,SAO LUCAS,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO LUIS,NITEROI
DIVINOPOLIS,BAIRRO,SAO LUIZ,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO LUIZ,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO luiz,NITEROI
DIVINOPOLIS,BAIRRO,SAO SIMAO,NITEROI
DIVINOPOLIS,BAIRRO,SAVASSI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,savassi,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,TOPAZIO,NITEROI
DIVINOPOLIS,BAIRRO,UNIVERSITARIO,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,universitario,NITEROI
DIVINOPOLIS,BAIRRO,USINA DO GAFANHOTO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,VERA CRUZ,NITEROI
DIVINOPOLIS,BAIRRO,VILA RICA,NITEROI
DIVINOPOLIS,BAIRRO,VILA ROMANA,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,VILA ROMANA,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,WILSON DE OLIVEIRA,NITEROI
DIVINOPOLIS,LOGRADOURO,WILSON SANTOS DUARTE,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,PERI,NITEROI
DIVINOPOLIS,BAIRRO,LAGOA DOS MANDARINS,NITEROI
DIVINOPOLIS,NREDS,2015-026594811-001,PLANALTO
DIVINOPOLIS,NREDS,2018-002662804-001,PLANALTO
DIVINOPOLIS,NRAT,2018-008910958-001,PLANALTO
DIVINOPOLIS,NREDS,2018-026902994-001,PLANALTO
DIVINOPOLIS,NRAT,2018-032178540-001,PLANALTO
DIVINOPOLIS,LOGRADOURO,ACACIAS,PLANALTO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,AMADEU LACERDA,PLANALTO
DIVINOPOLIS,LOGRADOURO,AMADEU LACERDA,PLANALTO
DIVINOPOLIS,LOGRADOURO,AMG 0335,PLANALTO
